sentence,jo,label
"This knowledge gap is prominent and should be addressed, the study authors write in a special concussion-themed issue of the Journal of Athletic Training.",Journal of Athletic Training,1
"In 2013, insurance providers and victims paid more than $9 million for medical services related to sexual assault, the study authors write in the American Journal of Public Health.",American Journal of Public Health,1
"Heart disease is the major cause of death among people with type 2 diabetes, Hahn’s team writes in Circulation: Cardiovascular Interventions.",Circulation: Cardiovascular Interventions,1
"A teacher or parent may be the driving force behind getting a garden started, but once the teacher leaves the school, or the parent’s child graduates, gardens can wither away unless they have been well integrated into the school community, the study team writes in Journal of the Academy of Nutrition and Dietetics.",Journal of the Academy of Nutrition and Dietetics,1
"The study, reported in Annals of Surgery, is the first to couple data on U.S. trauma admissions with Census Bureau data on income to evaluate the risks of catastrophic health expenses.",Annals of Surgery,1
"Higher black carbon exposure over one year was also associated with lower HDL particle counts, but this difference was too small to rule out the possibility that it was due to chance, researchers report in the journal Arteriosclerosis, Thrombosis, and Vascular Biology.","Arteriosclerosis, Thrombosis, and Vascular Biology",1
"Nearly 8 million U.S. high school students participate in sports every year, with more than 2 million competing in the sports where concussion is common: football, ice hockey, lacrosse and soccer, the study team writes in Journal of Athletic Training.",Journal of Athletic Training,1
"Expert guidelines increasingly call for genetic testing to identify the presence of inherited mutations, particularly for women already diagnosed with breast cancer, the study team writes in Journal of Clinical Oncology.",Journal of Clinical Oncology,1
"Drivers with type 1 diabetes have a greater risk of collisions than their spouses without diabetes, and those mishaps correspond to the use of insulin pumps, a history of collisions, severe low blood sugar (hypoglycemia) and previous hypoglycemia-related driving mishaps, the study team writes in Diabetes Care.",Diabetes Care,1
"But the children of mothers who never used cell phones while pregnant had a lower risk of behavioral and emotional problems than any of the children whose mothers used cell phones, according to the report in Environment International.",Environment International,1
"Overall, about 3.4 percent of adults, representing more than 8.3 million people, reported serious psychological distress in 2014, up from roughly 3 percent at the start of the study, researchers report in the journal Psychiatric Services.",Psychiatric Services,1
"Overall, about 4 percent of pregnant women and almost 8 percent of non-pregnant women reported using marijuana, researchers report in the Annals of Internal Medicine.",Annals of Internal Medicine,1
"For 72 percent of patients, no cause for the chest pain was recorded by the doctor, the study team reports in The BMJ.",The BMJ,1
"Beyond its small size, another limitation of the study is that researchers lacked data on how often participants wore the devices, which makes it difficult to get an accurate daily step count, the authors note in Arthritis Care and Research.",Arthritis Care and Research,1
"Some patients, particularly young patients who shouldn’t yet have back and neck issues, are reporting disk hernias and alignment problems, the study authors write in The Spine Journal.",The Spine Journal,1
"Roughly one in five people were exposed to loud sounds outside of work, and 62 percent of them didn’t use hearing protection, researchers report in The Laryngoscope.",Laryngoscope,1
"A young carer holds the hands of an elderly woman in a residential home for the elderly in Planegg near Munich in this June 19, 2007 file photo.Michaela Rehle/Files       But when a risk factor is uncommon among peers – like widowhood or poor health in youth – it can have an outsized effect on depression risk, the study team reports in The American Journal of Geriatric Psychiatry.",The American Journal of Geriatric Psychiatry,1
"The most common reason for the abdominal surgeries was intestinal obstruction, a complication that affects 2 percent of all Swedish bariatric surgery patients, the authors note in Obstetrics and Gynecology.",Obstetrics and Gynecology,1
"About one in 10 children are victims of bullying, and many anti-bullying programs are focused on getting bystanders to intervene, researchers note in the Journal of Clinical Child and Adolescent Psychology.",Journal of Clinical Child and Adolescent Psychology,1
"One limitation of the study is that most participants were men, and the results might be different in women, researchers note in the Journal of Alzheimer’s Disease.",Journal of Alzheimer’s Disease,1
"In addition, the rates of heart attack combined with cardiac arrest were twice as high among beneficiaries hospitalized on marathon dates as among similar beneficiaries hospitalized on non-marathon dates, “a finding that is consistent with delayed care,” the researchers write in the New England Journal of Medicine.",New England Journal of Medicine,1
"The ability to manage money and medications is different from many other aspects of daily functioning because it’s complex and depends entirely on cognitive skills, the researchers write in Journal of the American Geriatrics Society.",Journal of the American Geriatrics Society,1
"“Healthier oral hygiene by frequent tooth brushing and professional dental cleaning may reduce risk of atrial fibrillation and heart failure,” senior study author Dr. Tae-Jin Song of Ewha Womans University College of Medicine in Seoul and colleagues write in the European Journal of Preventive Cardiology.",European Journal of Preventive Cardiology,1
"Researchers found that cold or ice baths can impede the generation of new protein in the muscles, according to the report published in the Journal of Physiology.",Journal of Physiology,1
I Ibiebele of Royal North Shore Hospital in New South Wales and colleagues write in BJOG.,BJOG,1
"Almost a quarter of preschool-age children in the United States are overweight or obese, yet few obesity-prevention programs for this age group have been tested, Dr. Julie Lumeng of the Center for Human Growth and Development at University of Michigan in Ann Arbor and colleagues write in the journal Pediatrics.",Pediatrics,1
"Somewhat surprisingly, this difference between inactive and active stroke survivors was also evident three years before their strokes, researchers report in the journal Neurology.",Neurology,1
De Simoni and colleagues write in Family Practice that three in 10 stroke survivors will go on to have a second stroke.,Family Practice,1
"These results suggest that while the trackers may help monitor daily activity, it’s not clear the heart rate readouts would be accurate enough to help patients with certain health problems make medical decisions, the authors note in Annals of Internal Medicine.",Annals of Internal Medicine,1
"Exposure to PBDEs was common, Hurley said, “(they) were found in at least three-quarters of the women we tested.” And there was a small, but statistically meaningful increase in the blood levels of both chemicals over the four-year study period, the study team reports in Environmental Science and Technology.",Environmental Science and Technology,1
"“Strategies to allow more living donors to overcome practical challenges to help another should be supported.”   In a report in the journal Transplantation, Waterman and colleagues described three voucher cases that allowed donors to overcome chronological incompatibility for recipients who didn’t yet need a kidney but might need one in the future.",Transplantation,1
"In the U.S., minors under age 18 generally need permission from their parents to get medical treatment or participate in research, researchers note in the Journal of Adolescent Health.",Journal of Adolescent Health,1
"Roughly two thirds of the tumor samples contained at least one of these deletions, the study in Cancer Research found.",Cancer Research,1
"The new study in the New England Journal of Medicine explored whether that was specifically true for people with coronary artery disease, where fatty deposits have built up in the blood vessels feeding the heart muscle.",New England Journal of Medicine,1
"The findings, reported in the New England Journal of Medicine, may encourage more hospitals to adopt the technique.",New England Journal of Medicine,1
"Both efforts are part of a unique collaboration between public health officials and advocates, academic researchers and community coalitions described in a new report in Preventing Chronic Disease, a publication of the Centers for Disease Control and Prevention.",Preventing Chronic Disease,1
"Because tendons are made mainly of collagen fibers, with few cells, they have little capacity for regeneration on their own, Laurencin’s team writes in the online journal PLoS ONE.",PLoS ONE,1
"“This could be achieved through enhanced law enforcement and/or educational programs that clearly show the harms of riding without a seat belt.”   In 2015, deaths from motor vehicle crashes had the largest proportionate one-year increase since 1966, and 2016 appears to have logged even more fatalities, researchers note in the journal Health Affairs.",Health Affairs,1
"Firefighters’ core body temperatures increased about 2 degrees Fahrenheit on average during the simulation exercises and remained high for three to four hours afterwards, researchers report in Circulation.",Circulation,1
"After a celiac disease diagnosis, women were 46 percent more likely to be diagnosed with anorexia nervosa, researchers report in Pediatrics.",Pediatrics,1
"Babies whose mothers got the vaccine during pregnancy had a 69 percent lower risk of whooping cough in their first year of life, even after accounting for the effects of whooping cough vaccines the infants got starting at two months of age, researchers report in Pediatrics.",Pediatrics,1
"Over six to eight weeks in the Chinese capital, pollution metabolites in participants’ urine spiked along with blood markers of inflammation and artery plaque buildup, the study team reports in the journal Circulation.",Circulation,1
"In the Journal of the American Pharmacists Association, they report that Walgreens pharmacies have expanded access to naloxone, a drug that can block the effects of opioid painkillers such as hydrocodone and oxycodone and thereby prevent overdose deaths from respiratory failure.",Journal of the American Pharmacists Association,1
"While hospital emergency rooms and urgent care clinics accounted for the bulk of these claims, freestanding emergency departments experienced much more growth in use during the study period, researchers report in the Annals of Emergency Medicine.",Annals of Emergency Medicine,1
"Those with type 1 diabetes were more likely to have had an eye exam compared with those who had type 2 diabetes, the study team reports in JAMA Ophthalmology .",JAMA Ophthalmology,1
"If the young men also had type 2 diabetes, their risk of having liver disease by the time they reached middle age was as much as 3.3 times higher, researchers report in the journal Gut.",Gut,1
"Previous research has tied high levels of the stress hormone cortisol in the blood, urine or saliva to obesity, but these measurements can vary based on factors like the time of day and don’t capture long-term stress levels, the study team notes in the journal Obesity.",Obesity,1
"The new study, reported in the New England Journal of Medicine, looked at all pregnant women in Denmark using several national registries.",New England Journal of Medicine,1
"Medicaid and Medicare pay 41 percent of the total, and private insurers another 20 percent, the study authors report in American Journal of Public Health.",American Journal of Public Health,1
"“There is growing consensus that a predominantly plant-based diet that emphasizes green, leafy vegetables, whole grains, legumes and fruit is where the best improvements are seen in heart health.”   Based on the scientific data available, nuts in moderation, extra-virgin olive oil and lean meats can also be part of a heart healthy diet, Freeman and colleagues report in the Journal of the American College of Cardiology.",Journal of the American College of Cardiology,1
"Risks of estrogen therapy can include increased odds of heart disease and breast cancer, Johelle de S. Passos-Soares of the Federal University of Bahia in Brazil and colleagues note in the Journal Menopause.",Menopause,1
Coulter and colleagues write in the Journal of Interpersonal Violence that sexual assault affects 2 to 15 percent of U.S. undergraduates.,Journal of Interpersonal Violence,1
"Using this rapid bedside tool, delirium status could be established in 835 cases, or 84 percent, according to the results in Critical Care Medicine.",Critical Care Medicine,1
"Gay and lesbian teens, as well as youth uncertain about their sexual orientation, or “questioning,” were more likely than their straight peers to use all four types of tobacco products, researchers report in Pediatrics.",Pediatrics,1
"At the same time, fears that legalization of medical marijuana would lead to an uptick in cannabis-related hospitalizations proved unfounded, according to the report in Drug and Alcohol Dependence.",Drug and Alcohol Dependence,1
"Overall, male veterans with drug or alcohol problems are more than twice as likely to die by suicide as other ex-service members, researchers report in the journal Addiction.",Addiction,1
"As reported in the Journal of the Academy of Nutrition and Dietetics, 13 percent of food and 35 percent of beverage purchases included products with some type of low-content claim.",Journal of the Academy of Nutrition and Dietetics,1
"Even among the schools with some access, in roughly half the trainer is only part-time, the researchers report in the Journal of Athletic Training.",Journal of Athletic Training,1
"“This is a much higher proportion than that of the general population, in which 22% of individuals aged 25 to 44 lack a routine place for medical care, leading to concern for reduced resident health and untreated medical or mental disease,” lead study author Dr. Erika Rangel, of Brigham and Women’s Hospital and Harvard Medical School in Boston, and her colleagues write in the Journal of the American College of Surgeons.",Journal of the American College of Surgeons,1
"After an affiliation, rural hospitals are more likely to lose onsite imaging and obstetric and primary care services, researchers report in a special issue of the journal Health Affairs devoted to rural health issues in the United States.",Health Affairs,1
"“(It’s) about 1 in 10 obese adults, and like we’ve found in previous studies, this status is often temporary.”    Bell and colleagues published research in the International Journal of Obesity in February that suggests obesity also hastens age-related functional decline and disability, even in metabolically healthy adults.",International Journal of Obesity,1
"With liquid soap, the colony count went from 3.8 to 1.2 - a statistically significant drop, according to a report in the American Journal of Infection Control.",American Journal of Infection Control,1
"After one year, the average leg-pain intensity score was 3.4 with pregabalin and 3.0 with placebo, according to results in the New England Journal of Medicine.",New England Journal of Medicine,1
"Overall, the average score was just 63 points, researchers report in the Journal of the Academy of Nutrition and Dietetics.",Journal of the Academy of Nutrition and Dietetics,1
A separate study in the journal PeerJ evaluated another concern about 5ARIs - erectile dysfunction.,PeerJ,1
"That’s because these places are often located near where patients typically experience cardiac arrest, and they may be open around the clock, researchers conclude in the journal Circulation.",Circulation,1
"About half a million youth in the U.S. and Canada are registered in ice hockey leagues each year, the researchers write in British Journal of Sports Medicine.",British Journal of Sports Medicine,1
"In addition, cigarette sales dropped 1 percent - or by 95 million packs - in 13 states in the eight months after CVS left the tobacco market in September 2014, according to the report in the American Journal of Public Health.",American Journal of Public Health,1
Macey and colleagues write in Scientific Reports that up to 5 percent of all children are affected by OSA.,Scientific Reports,1
"Overall, less than half of ACA-related news coverage focused on health insurance products, while much of the rest of the spots concentrated on political disagreements over the law, researchers report in the American Journal of Public Health.",American Journal of Public Health,1
"Preemies who were in the neonatal intensive care unit and spent more time in gentle contact with parents and caregivers had a stronger response to touch in the experiment than the preterm infants who didn’t get this gentle contact, researchers report in Current Biology.",Current Biology,1
"REUTERS/Stringer      Staying physically active is important for people with chronic obstructive pulmonary disease (COPD), and finding things that motivate patients to move “is central to tailoring physical activity recommendations” and planning interventions, the authors write in Thorax.",Thorax,1
"Poverty explained some of the association, but an urban planning concept, neighborhood “stability” - including the proportion of homes that are rented versus owned - accounted for most of the link, the study team reports in Journal of Epidemiology and Community Health.",Journal of Epidemiology and Community Health,1
"Sleep duration between 6 months and 2 years old was not linked to scores at age 7, according to the report in Academic Pediatrics.",Academic Pediatrics,1
"By concentrating more drones in urban areas instead, it would require 28 drones on 15 bases to get aid to the patients an average of one minute faster, researchers report in Circulation.",Circulation,1
"The antioxidants found in produce might help to protect lungs from smoking damage, the researchers write in the journal Thorax.",Thorax,1
"Less common chronic health problems included diabetes, inflammatory bowel disease, heart conditions, gastrointestinal disorders, reproductive health issues, blood disorders, cancer, kidney or urinary problems, and sickle cell disease, researchers report in the Journal of Adolescent Health.",Journal of Adolescent Health,1
Harris and his colleagues write in Fertility and Sterility that lack of geographic access to assisted reproductive technology (ART) is common and a significant obstacle for patients with infertility.,Fertility and Sterility,1
"Because the surgery group was so much bigger, the actual rate of heart failure for those patients translates to 4.1 cases for every 10,000 people per year in the surgery group and 7.6 cases per 10,000 per year in the lifestyle group, according to the report in Circulation.",Circulation,1
"Married people typically had sex 73 times a year in 1990, researchers report in the Archives of Sexual Behavior.",Archives of Sexual Behavior,1
"Less than 2 percent of patients couldn’t tolerate the statins, and more than half were able to stay on the drugs, according to the Journal of the American College of Cardiology report.",Journal of the American College of Cardiology,1
"“We found that U.S. patients with private health insurance had similar survival to Canadians, however, insurance status in the U.S. is a complex construct and may reflect a combination of other unmeasured factors such as socioeconomic status.”   Overall, the risk for death was 34 percent lower in Canada than in the U.S., researchers report in the Annals of Internal Medicine.",Annals of Internal Medicine,1
"Studies in rural areas, where hospitals can be far away, have shown similar results, but the new report shows MSUs get patients treated faster even in a densely populated city, researchers write in the Journal of the American Heart Association.",Journal of the American Heart Association,1
"Smartphones and wearable devices are becoming the medium of choice for doctors to communicate with staff and patients, Stephanie Huffman of Island Health and the University of British Columbia in Vancouver and her colleagues write in the American Journal of Infection Control.",American Journal of Infection Control,1
The scientific advisory published in the association’s journal Circulation updates a 2002 guidance with data from 15 newer studies.,Circulation,1
"The study doesn’t prove social media causes isolation, and it’s possible that people who already felt less connected to other people in real life spent more time on services like Facebook or Twitter, researchers note in the American Journal of Preventive Medicine.",American Journal of Preventive Medicine,1
"Among patients addicted to opiates, 12 percent of adults received medication, compared to less than 1 percent of adolescents, the researchers reported in the Journal of Adolescent Health.",Journal of Adolescent Health,1
"One limitation of the study is that researchers relied on data that adults reported about their own feelings and symptoms, which isn’t always as reliable as medical records or details verified by a doctor’s diagnosis, the authors note in Pediatrics.",Pediatrics,1
Their new review was published in the Cochrane Library.,Cochrane Library,1
"Researchers had expected each of the three options to independently inspire healthier food and beverage selections, Ickovics and colleagues note in the Journal of the Academy of Nutrition and Dietetics.",Journal of the Academy of Nutrition and Dietetics,1
"The high attrition rates raise ethical questions about whether healthcare workers should present dialysis as an option to patients who cannot afford it, Luyckx and her colleagues write in Lancet Global Health.",Lancet Global Health,1
"Children in the study watched an average of 2.2 hours of television a day, Ribner and colleagues report in the Journal of Developmental and Behavioral Pediatrics.",Journal of Developmental and Behavioral Pediatrics,1
"It interferes with day-to-day activities and often leads to a lower quality of life and depression as well as accounting for about 9 percent of stroke-related health care costs during the first year after stroke, the study team writes in The Lancet.",The Lancet,1
"Although getting CTCA is associated with a lower likelihood of having a heart attack later on, its effects on symptoms and quality of life may vary, the researchers note in the journal Heart.",Heart,1
"When researchers compared models doctors might use to determine the likelihood of lung cancer, nasal gene activity was more accurate than clinical risk factors alone for diagnosing lung cancer, according to the Journal of the National Cancer Institute report.",Journal of the National Cancer Institute,1
"Babies were born five days later and six ounces heavier in Texas on average than in a group of comparison states that continued to pay doctors and hospitals for scheduled, or elective, early deliveries, according to a report released Monday in Health Affairs.",Health Affairs,1
"Harris and his colleagues note in the Annals of Internal Medicine that aside from health risks, obesity may present technical and logistical challenges during physical examinations and certain medical procedures.",Annals of Internal Medicine,1
"As of 2017, 66% of women were aware that dense breast tissue is associated with an increased risk of cancer, up from about 59% in 2012, researchers report in the Journal of the American College of Radiology.",Journal of the American College of Radiology,1
"The families of the children “indicated that they had albuterol in their possession that was confiscated and replacements were not supplied,” said Dr. Noy Halevy-Mizrahi of Stony Brook University, coauthor of the report in Pediatrics.",Pediatrics,1
"Many sunscreens with sun protection factor (SPF) 50 or above and labeled “broad spectrum” - because they protect against both UVA and UVB rays - didn’t meet the higher standards created by the European Union, which may indicate a need for new UV filters in U.S. products, the study team writes in the Journal of the American Academy of Dermatology.",Journal of the American Academy of Dermatology,1
"Within six months of experiencing their first hip fracture, just 17 percent of the women got tested for osteoporosis or received a treatment for the condition, researchers report in the Journal of Bone and Mineral Research.",Journal of Bone and Mineral Research,1
"“Concerns have been raised that industry-supported patient-advocacy organizations have spoken out for access to drugs with questionable therapeutic benefit and remained silent on policy proposals, such as drug-pricing reforms, that might benefit their constituents,” the research team from the University of Pennsylvania in Philadelphia writes in the New England Journal of Medicine   The influence might be even more extensive than the numbers suggest, say the authors, led by Matthew McCoy, a postdoctoral fellow in the university’s department of medical ethics and health policy.",New England Journal of Medicine,1
"When it comes to regulating peer-to-peer accommodation services, the public health concern of smoke exposure should be a consideration, he and his colleagues write in the journal Tobacco Control.",Tobacco Control,1
"Many injuries likely go unreported, and many mothers likely have depression or anxiety but aren’t diagnosed by doctors, the study authors write in the journal Injury Prevention.",Injury Prevention,1
"There was limited evidence of possible benefits from flaxseed oil, milk thistle, grape seeds, green tea, hawthorn, garlic and soy, they report in the Journal of the American College of Cardiology.",Journal of the American College of Cardiology,1
"It may be difficult for some families to eat a meal together every day, but they may be able to have healthier habits for the meals they do share, researchers conclude in the Journal of the Academy of Nutrition and Dietetics.",Journal of the Academy of Nutrition and Dietetics,1
"They found the strongest links were between obesity and malignancies of the digestive organs and for hormone-related tumors in women, according to the report in The BMJ.",The BMJ,1
"Even though the study’s participants were not told whether they were assigned active or placebo treatment, one limitation of the experiment is that participants often stopped placebo treatments before the recommended 20-minute course of stimulation was done, the authors note in Neurology.",Neurology,1
"In addition, 60 percent of the women and 58 percent of the men said they exercised no more than once a week, the researchers report in Human Reproduction.",Human Reproduction,1
"Overall, about 92 percent of respondents thought surgeons should document what portion of the operations they were present for, researchers report in the Journal of the American College of Surgeons.",Journal of the American College of Surgeons,1
"The most common everyday activities included receiving hugs and physical touch, talking to friends and relatives, talking to staff about issues unrelated to care and personal grooming, researchers report in the Journal of Advanced Nursing.",Journal of Advanced Nursing,1
"“The students can really focus on the benefits, and enjoyment of safe and fair play.”   The researchers write in the Journal of Athletic Training that the number of student athletes rose for the 25th consecutive year from 2013 to 2014.",Journal of Athletic Training,1
"A total of 71 people completed the study, which was published in Science Translational Medicine.",Science Translational Medicine,1
The researchers write in the Journal of Insect Science that consumers may feel a false sense of comfort that they are protected by these devices when they actually are not.,Journal of Insect Science,1
"But women who fear losing custody of their babies sometimes avoid treatment so as not to raise suspicion, according to another new report in the Journal of Substance Abuse Treatment.",Journal of Substance Abuse Treatment,1
"New doctors, known as residents, tend to work extremely long hours and are at high risk for job burnout, the study team writes in the journal Pediatrics.",Pediatrics,1
"“Total dairy intake was not associated with lower risk of total mortality,” lead study author Ming Ding of the Harvard School of Public Health in Boston and colleagues write in The BMJ.",The BMJ,1
"REUTERS/Lucy Nicholson       Pinpointing the most lethal method can help experts find ways to cut down on suicides, researchers noted in Annals of Internal Medicine.",Annals of Internal Medicine,1
"Asthma is the most common chronic disease encountered in pregnancy, occurring in up to 13% of pregnancies, To and colleagues write in the European Respiratory Journal.",European Respiratory Journal,1
"At 19 U.S. centers, 818 patients with pacemakers and 500 with implantable defibrillators were evaluated, according to the report in the New England Journal of Medicine.",New England Journal of Medicine,1
"By the one-year mark, the men’s penises generally returned to original lengths, which averaged about 11.72 centimeters (4.61 inches), according to the results in BJU International.",BJU International,1
"In the current study, 327 of the children were exposed to no licorice at all in utero or no more than 249 milligrams of glycyrrhizin a week, researchers report in the American Journal of Epidemiology.",American Journal of Epidemiology,1
"The prices of cancer-treating drugs are on the rise and a newer cancer medication can cost over $100,000 per year for each patient, the study team writes in the journal Cancer.",Cancer,1
"For the study published in the Annals of Internal Medicine, Bennell and her colleagues enrolled 148 men and women over age 50 with internet access and knee pain on most days of the week over the previous three months.",Annals of Internal Medicine,1
"despite their younger age at the time of fracture.”   As reported in the Journal of the American Geriatrics Society, the researchers compared the impact of a hip fracture on thinking skills and risk of death in 166 men and 168 women over age 80.",Journal of the American Geriatrics Society,1
"The current study is the first to examine how psychological symptoms were reported by mothers before they knew their children had CDA, the authors write in Pediatrics.",Pediatrics,1
"Studies are underway to examine this further, the researchers write in the Canadian Medical Association Journal.",Canadian Medical Association Journal,1
"Typically, cortisol levels peak when a person wakes up and decline as the day progresses, the study team writes in Psychoneuroendocrinology.",Psychoneuroendocrinology,1
"NAFLD is the most common liver disease in western children, the authors write in Journal of Hepatology.",Journal of Hepatology,1
"These small errors also affect the stroke rate, stroke length and average speed numbers since they’re based on lap times and stroke counts, the study authors write in PLoS ONE.",PLoS ONE,1
"As reported in the Mayo Clinic Proceedings, the study team looked at more than 10,000 patients who performed two exercise stress tests at least one year apart.",Mayo Clinic Proceedings,1
"Even if these so-called post-marketing studies do uncover previously undetected adverse events, physicians conducting the trials are often required to keep results confidential, limiting the potential for regulators or patients to learn about safety issues, according to the study in The BMJ.",The BMJ,1
"Worldwide, up to 40 percent of people over 65 and about half of people over 80 fall each year, researchers note in BMJ Open.",BMJ Open,1
"The study, reported in the journal Addictive Behaviors, found that in states where physicians were required to check an electronic database before writing an opioid prescription, the odds that two or more doctors would be giving pain relievers for nonmedical purposes to a single patient were reduced by 80 percent.",Addictive Behaviors,1
"Thigh muscle strength didn’t appear to influence the risk of knee osteoarthritis for men, researchers report in Arthritis Care and Research.",Arthritis Care and Research,1
"Figuring out why candidates remain inactive and how to move them to active status could reduce health disparities in underserved communities, the study authors write in the Clinical Journal of the American Society of Nephrology.",Clinical Journal of the American Society of Nephrology,1
"“These results suggest that an increased likelihood of receiving an opioid for even one encounter could drive clinically significant future long-term opioid use and potentially increased adverse outcomes among the elderly,” the research team writes in the New England Journal of Medicine.",New England Journal of Medicine,1
"For the study, published in the New England Journal of Medicine, Younge and her colleagues looked at survival rates, with and without disability, for these extreme preemies over three periods - from 2000 to 2003, from 2004 to 2007 and from 2008 to 2011.",New England Journal of Medicine,1
"Body fat is thought to increase risk of this hormone-sensitive cancer by increasing the amount of estrogen a woman produces, the researchers write in Journal of Clinical Oncology.",Journal of Clinical Oncology,1
"Even after accounting for several risk factors for cardiovascular disease such as weight, cholesterol levels and inflammation, amphetamine use was still independently associated with an “advancement” of cardiovascular age, researchers report in Heart Asia.",Heart Asia,1
"Low back pain is one of the most common reasons people visit U.S. doctors’ offices each year, according to the ACP in the Annals of Internal Medicine.",Annals of Internal Medicine,1
"The inflation-adjusted total cost of all topical immunomodulators was $232 million in 2008 and $252 million in 2010, researchers report in the Journal of the American Academy of Dermatology.",Journal of the American Academy of Dermatology,1
"“The idea that being an empty nester will eliminate the worries and stresses associated with parenting is a very limited view.”   Sleep problems have been associated with a variety of negative physical and mental health outcomes as well as relationship problems, researchers note in The Gerontologist.",The Gerontologist,1
"During the study period, there were 84,756 motor vehicle crash fatalities among people 20 and younger, including 23,757 collisions involving alcohol, researchers report in Pediatrics.",Pediatrics,1
"Overall, men accounted for 62 percent of the hospital admissions and 57 percent of deaths, researchers report in CMAJ.",CMAJ,1
"Government programs designed to achieve a 10 percent reduction in salt consumption over 10 years could save nearly 6 million life years currently lost to cardiovascular disease each year, at an average cost of $204 per life year saved, researchers report in The BMJ.",BMJ,1
"“As graduation rates improve, young adults experience less hardship after graduation, a lower chance of incarceration and a higher chance of career success.”   Delayed bell times could close the achievement gap as well, McKeever and Clark wrote in Sleep Health, the journal of the National Sleep Foundation.",Sleep Health,1
"Millions of U.S. drivers fall asleep at the wheel each month, and roughly 15 percent of all fatal crashes involve a drowsy driver, researchers note in the journal Sleep.",Sleep,1
"Tobacco smoking among U.S. youth has fallen since 1998, but some experts worry that acceptance of e-cigarettes may promote acceptance of traditional cigarettes and reverse the trend, the study team writes in Journal of Adolescent Health.",Journal of Adolescent Health,1
"Concerns go back decades, to a 1940s study in which women who delivered under general anesthesia were at risk of inhaling their stomach contents and choking in it, Berghella and colleagues write in Obstetrics and Gynecology.",Obstetrics and Gynecology,1
